sku,name,reviewStars,reviewCount,status,price,discount,url
LUS1395,LumiSource Fuji 31 in. Industrial Stackable Bar Stool - Set of 2,,,IN_STOCK,270.59,1,https://www.hayneedle.com/product/lumisourcefujiindustrialstackablebarstoolsetof2.cfm
EASE062,East West Furniture Groton Counter Height Dining Chair with Wooden Seat - Set of 2,,,IN_STOCK,228,0,https://www.hayneedle.com/product/east-west-furniture-groton-counter-height-dining-chair-with-wooden-seat-nss.cfm
CHIT177,Chic Teak Vessel Bar Stool,5,1,IN_STOCK,203.89,0,https://www.hayneedle.com/product/chicteakvesselbarstool.cfm
EEI809,Modway Dive 30.5 in. Bar Stool,,,IN_STOCK,187.75,0,https://www.hayneedle.com/product/modway-dive-31-in-bar-stool.cfm
AA1634,Armen Living Brisbane 26 in. Swivel Counter Stool,,,IN_STOCK,159.8,13,https://www.hayneedle.com/product/armenlivingfawcett26inswivelcounterstool.cfm
AA940,Armen Living Shelly 26 in. Swivel Counter Stool,4.3,16,IN_STOCK,123.99,19,https://www.hayneedle.com/product/armen-living-shelly-26-in-swivel-counter-stool.cfm
FAMS002,BTExpert Industrial 24 in. Metal Backless Counter Stool,,,IN_STOCK,165.99,0,https://www.hayneedle.com/product/btexpertindustrial24inmetalbacklesscounterstool.cfm
VOGU101,Brage Living Faux Leather Adjustable Bar Stool with Footrest and Swivel - Set of 2,,,IN_STOCK,170,0,https://www.hayneedle.com/product/bragelivingfauxleatheradjustablebarstoolwithfootrestandswivelsetof2.cfm
CCH305,Carolina Charlotte 24 in. Backless Counter Stool,5,2,IN_STOCK,112.99,0,https://www.hayneedle.com/product/carolinachairtablecocharlotte24inbacklesscounterstool.cfm
SIMP895,HN Home Moneo Mid-Century Modern 26 in. Bentwood Counter Height Stool - Set of 2,4.7,6,IN_STOCK,199,7,https://www.hayneedle.com/product/hnhhomemoneomid-centurymodern26in.bentwoodcounterheightstool-setof2.cfm
SIMP883,Brooklyn + Max Sierra Bentwood Adjustable Height Bar Stool,5,1,IN_STOCK,135.99,13,https://www.hayneedle.com/product/brooklynmaxsierrabentwoodadjustableheightbarstool.cfm
ANGI109,Aeon Furniture Galaxy Bar Height Stool - Set of 2,,,IN_STOCK,154.87,0,https://www.hayneedle.com/product/aeon-furniture-galaxy-bar-height-stool-set-of-2.cfm
HBS950,Holland Bar Stool Co XL 830 Voltaire 36 in. Wood Swivel Extra Tall Bar Stool,,,IN_STOCK,335.99,0,https://www.hayneedle.com/product/hollandbarstoolcoxl830voltaire36inwoodswivelextratallbarstools.cfm
ABBY1251,Abbyson Hudson Fabric Nailhead Trim Bar Stool,5,1,IN_STOCK,189.01,34,https://www.hayneedle.com/product/abbyson-living-hudson-fabric-nailhead-trim-bar-stool.cfm
LHD1487,Linon Home Decor Stewart 30-in. Bar Stool,2.3,3,IN_STOCK,127.75,0,https://www.hayneedle.com/product/linon-stewart-30-in-bar-stool.cfm
HBS894,Holland Bar Stool Co 821 Catalina 25 in. Low Back Counter Swivel Stool,,,IN_STOCK,188.99,0,https://www.hayneedle.com/product/hollandbarstoolco821catalina25inlowbackcounterswivelstool.cfm
LHD1342,Linon Brook 30 in. Bar Stool,4.2,52,IN_STOCK,122.08,0,https://www.hayneedle.com/product/linon-brook-30-in-bar-stool-black.cfm
HL2179,Hillsdale Norwood 26.5 in. Hammered Copper Back Swivel Counter Stool,4.3,9,IN_STOCK,316.99,0,https://www.hayneedle.com/product/norwoodcopperbackblackcopperswivelcounterstool.cfm
ELET1031,Picket House Furnishings Bowen 30 in. Upholstered Backless Bar Stool,,,IN_STOCK,97.99,4,https://www.hayneedle.com/product/pickethousefurnishingsbowen30inupholsteredbacklessbarstool.cfm
WWI223,International Concepts Madrid Counter Height Stool,4.5,4,IN_STOCK,125.76,0,https://www.hayneedle.com/product/international-concepts-madrid-counter-height-stool.cfm
WI646,Winsome Trading Holly Airlift Stool - Espresso/Black,4.6,15,IN_STOCK,104.63,0,https://www.hayneedle.com/product/winsome-trading-holly-airlift-stool-espressoblack.cfm
ELET1036,Picket House Furnishings Flynn 30 in. Round Swivel Backless Bar Stool,,,IN_STOCK,200.99,4,https://www.hayneedle.com/product/pickethousefurnishingsflynn30inroundswivelbacklessbarstool.cfm
WORW124,WHI Fabric Adjustable Height Stools - Set of 2,3.5,2,IN_STOCK,254.86,0,https://www.hayneedle.com/product/whifabricadjustableheightstoolssetof2.cfm
WORW402,WHI Harlo 26 in. Swivel Counter Stool - Set of 2,,,IN_STOCK,329.99,0,https://www.hayneedle.com/product/whiharlo26inswivelcounterstoolsetof2.cfm
FLSH1073,Flash Furniture Brynn 30 in. Contemporary Rounded Low Back Legged Vinyl Bar Stool,4.7,9,IN_STOCK,117.19,0,https://www.hayneedle.com/product/flashfurniturebrynn30incontemporaryroundedlowbackleggedvinylbarstool.cfm
LHD499,Linon Porter Ladder Back Counter Stool,3.4,22,IN_STOCK,89.87,0,https://www.hayneedle.com/product/linon24inchporterladderbackcounterstool.cfm
OFM401,OFM Model 920-MTL Endure Series Bar Height Adjustable Stool,4.8,4,IN_STOCK,136,0,https://www.hayneedle.com/product/ofmmodel920mtlendureseriesbarheightadjustablestool.cfm
FLSH1303,Flash Furniture 30 in. Backless Wood Barstool with Black Leather Saddle Seat,4.7,3,IN_STOCK,145.57,4,https://www.hayneedle.com/product/flashfurniture30inbacklesswoodbarstoolwithblackleathersaddleseat.cfm
PO3492,Powell Logan 24 in. Counter Stool,5,2,IN_STOCK,62.57,0,https://www.hayneedle.com/product/powelllogan24incounterstool.cfm
